Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
37,1.0,0.0,0.0,722.0,17.0,23.0,1564.0,0.0,104.02799999999998,0.0,0.0,244.61157178878784,,,,,,,,,,,,,,,,,,,,,50.76655095614252,28.653018103384472,94.22680673409573,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,789.0,18.0,67.0,1631.0,0.0,319.07700000000017,0.0,0.0,251.43911504745483,,,,,,,,,,,,,,,,,,,,,130.32604659519248,70.21961322915227,236.46418608429855,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,820.0,19.0,31.0,1662.0,0.0,142.03800000000004,0.0,0.0,255.41806316375732,,,,,,,,,,,,,,,,,,,,,66.18182811927163,37.415180220553054,123.98901467505948,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,933.0,20.0,113.0,1775.0,0.0,551.1209999999985,0.0,0.0,266.5965917110443,,,,,,,,,,,,,,,,,,,,,197.3510756444392,97.611661692541,334.7763335596199,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,73.0,1.0,73.0,1848.0,0.0,350.08199999999994,0.0,0.0,357.9070029258728,,,,,,,,,,,,,,,,,,,,,141.11198531909147,74.09231210643416,252.08677759112663,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,89.0,2.0,16.0,1864.0,0.0,75.015,0.0,0.0,360.0759561061859,,,,,,,,,,,,,,,,,,,,,40.14300632063646,20.823148592955025,69.98481684389161,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,130.0,3.0,41.0,1905.0,0.0,186.05400000000017,0.0,0.0,364.4314079284668,,,,,,,,,,,,,,,,,,,,,82.18845576930559,46.47206034849346,155.4501919544788,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,180.0,4.0,50.0,1955.0,0.0,239.05500000000018,0.0,0.0,369.61261200904846,,,,,,,,,,,,,,,,,,,,,104.32822769107699,56.635577129473376,190.6855281649439,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,209.0,5.0,29.0,1984.0,0.0,133.03500000000003,0.0,0.0,373.07391715049744,,,,,,,,,,,,,,,,,,,,,62.7487805723828,35.4141315040273,117.16952722580245,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,244.0,6.0,35.0,2019.0,0.0,162.04200000000012,0.0,0.0,377.18029594421387,,,,,,,,,,,,,,,,,,,,,74.27147615737806,41.77075719099633,138.80928817969357,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,285.0,7.0,41.0,2060.0,0.0,191.04900000000015,0.0,0.0,381.56971740722656,,,,,,,,,,,,,,,,,,,,,85.35875678131721,47.75517489844234,159.22039559193954,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,321.0,8.0,36.0,2096.0,0.0,167.04300000000012,0.0,0.0,385.62850308418274,,,,,,,,,,,,,,,,,,,,,76.26390663480971,42.82847324506498,142.42219529789662,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,346.0,9.0,25.0,2121.0,0.0,111.03299999999996,0.0,0.0,388.4772925376892,,,,,,,,,,,,,,,,,,,,,53.065127881109795,30.150884718752508,99.75177842028626,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,376.0,10.0,30.0,2151.0,0.0,136.038,0.0,0.0,391.8916139602661,,,,,,,,,,,,,,,,,,,,,63.46898143546874,36.01760943816974,119.37282478253177,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,438.0,11.0,62.0,2213.0,0.0,298.06800000000015,0.0,0.0,398.54580569267273,,,,,,,,,,,,,,,,,,,,,124.66378777113653,66.63031096117248,225.25910782766587,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,465.0,12.0,27.0,2240.0,0.0,123.03299999999999,0.0,0.0,401.5911138057709,,,,,,,,,,,,,,,,,,,,,58.57578805258349,33.12310837831355,109.39448752760174,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,489.0,13.0,24.0,2264.0,0.0,108.02999999999997,0.0,0.0,404.35040378570557,,,,,,,,,,,,,,,,,,,,,52.22509500167621,29.57956131716822,97.434932353431,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,513.0,14.0,24.0,2288.0,0.0,109.02899999999998,0.0,0.0,407.1673672199249,,,,,,,,,,,,,,,,,,,,,52.913931469640225,29.85249288867085,98.28553866675477,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,561.0,15.0,48.0,2336.0,0.0,230.05200000000016,0.0,0.0,412.37048983573914,,,,,,,,,,,,,,,,,,,,,101.39585064440848,54.894737821073704,185.0647808291847,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,583.0,16.0,22.0,2358.0,0.0,98.02799999999996,0.0,0.0,414.92506551742554,,,,,,,,,,,,,,,,,,,,,47.93208021167734,27.14116804331007,89.25920044223139,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,602.0,17.0,19.0,2377.0,0.0,83.02499999999998,0.0,0.0,417.2591595649719,,,,,,,,,,,,,,,,,,,,,41.40892960004577,23.35958127572396,76.68330106722917,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,729.0,18.0,127.0,2504.0,0.0,621.1349999999982,0.0,0.0,429.7290406227112,,,,,,,,,,,,,,,,,,,,,213.9788271941405,103.49777671302546,356.47575702830443,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,791.0,19.0,62.0,2566.0,0.0,287.0790000000003,0.0,0.0,436.0315487384796,,,,,,,,,,,,,,,,,,,,,117.66825540067283,65.02422013330579,218.47228002406163,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,848.0,20.0,57.0,2623.0,0.0,268.0680000000002,0.0,0.0,442.14492630958557,,,,,,,,,,,,,,,,,,,,,112.73242000711944,62.02042586519029,207.9486997203774,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,94.0,1.0,94.0,2717.0,0.0,465.09299999999917,0.0,0.0,534.534863948822,,,,,,,,,,,,,,,,,,,,,178.11863729216145,87.07291419316192,303.70521471826146,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,102.0,2.0,8.0,2725.0,0.0,35.007000000000005,0.0,0.0,535.7885811328888,,,,,,,,,,,,,,,,,,,,,21.362068332110173,10.155231457645037,33.974119511714306,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,153.0,3.0,51.0,2776.0,0.0,242.0580000000002,0.0,0.0,541.333167552948,,,,,,,,,,,,,,,,,,,,,104.72953117283048,57.35033812873442,192.47621579620085,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,206.0,4.0,53.0,2829.0,0.0,254.0580000000002,0.0,0.0,546.8338196277618,,,,,,,,,,,,,,,,,,,,,109.73598869849461,59.26256483598504,199.8754473929169,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,233.0,5.0,27.0,2856.0,0.0,121.03499999999997,0.0,0.0,550.0425086021423,,,,,,,,,,,,,,,,,,,,,57.258867629884925,32.54141032706093,107.71870802972256,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,262.0,6.0,29.0,2885.0,0.0,132.036,0.0,0.0,553.2247130870819,,,,,,,,,,,,,,,,,,,,,62.065432154967304,35.1590776869355,116.35243819514282,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,355.0,7.0,93.0,2978.0,0.0,447.1049999999996,0.0,0.0,562.3052785396576,,,,,,,,,,,,,,,,,,,,,168.61162083630146,87.39961632395446,296.1903812082843,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,440.0,8.0,85.0,3063.0,0.0,375.12900000000053,0.0,0.0,570.7869548797607,,,,,,,,,,,,,,,,,,,,,140.89520188310385,75.07954850043767,260.5530847866153,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,471.0,9.0,31.0,3094.0,0.0,141.03900000000004,0.0,0.0,574.2295546531677,,,,,,,,,,,,,,,,,,,,,65.51673350430391,37.14839661299637,123.18009653470645,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,536.0,10.0,65.0,3159.0,0.0,306.07800000000026,0.0,0.0,580.792986869812,,,,,,,,,,,,,,,,,,,,,125.11571136694774,68.27497862221117,229.31617958523003,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,576.0,11.0,40.0,3199.0,0.0,185.04900000000015,0.0,0.0,585.3761129379272,,,,,,,,,,,,,,,,,,,,,82.75842357566151,46.529533056356605,155.0307423423481,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,607.0,12.0,31.0,3230.0,0.0,139.041,0.0,0.0,588.8713381290436,,,,,,,,,,,,,,,,,,,,,64.26430479237663,36.535568307947024,121.53766504883507,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,630.0,13.0,23.0,3253.0,0.0,102.02999999999996,0.0,0.0,591.9266850948334,,,,,,,,,,,,,,,,,,,,,49.4391881888135,28.048169920594507,92.49973137085287,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,657.0,14.0,27.0,3280.0,0.0,123.03299999999999,0.0,0.0,594.9336750507355,,,,,,,,,,,,,,,,,,,,,58.57578805258349,33.12310837831355,109.39448752760174,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,738.0,15.0,81.0,3361.0,0.0,382.09799999999973,0.0,0.0,603.1715133190155,,,,,,,,,,,,,,,,,,,,,151.70115482359984,76.73198761065824,264.48328190274873,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
