Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
53,2.0,0.0,0.0,615.0,13.0,25.0,2382.0,0.0,111.03299999999996,0.0,0.0,399.374472618103,,,,,,,,,,,,,,,,,,,,,53.065127881109795,30.150884718752508,99.75177842028626,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,639.0,14.0,24.0,2406.0,0.0,108.02999999999997,0.0,0.0,401.9661316871643,,,,,,,,,,,,,,,,,,,,,52.22509500167621,29.57956131716822,97.434932353431,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,672.0,15.0,33.0,2439.0,0.0,147.04500000000007,0.0,0.0,405.4322395324707,,,,,,,,,,,,,,,,,,,,,65.66047396620658,40.62375627931705,127.92270542919276,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,801.0,16.0,129.0,2568.0,0.0,621.1469999999986,0.0,0.0,417.91219115257263,,,,,,,,,,,,,,,,,,,,,212.00788909756702,101.61950157797396,354.7156647935294,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,830.0,17.0,29.0,2597.0,0.0,133.03500000000003,0.0,0.0,421.0808389186859,,,,,,,,,,,,,,,,,,,,,62.7487805723828,35.4141315040273,117.16952722580245,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,874.0,18.0,44.0,2641.0,0.0,159.286,0.0,0.0,425.6763048171997,,,,,,,,,,,,,,,,,,,,,57.57218593248493,46.70541669759791,136.67405182094348,0.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,909.0,19.0,35.0,2676.0,0.0,143.061,0.0,0.0,429.48602199554443,,,,,,,,,,,,,,,,,,,,,60.07935083544059,40.16132711383702,124.51099602856422,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,974.0,20.0,65.0,2741.0,0.0,313.0710000000001,0.0,0.0,436.1270081996918,,,,,,,,,,,,,,,,,,,,,129.68299040235158,68.95153462270034,233.4221571660764,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,42.0,1.0,42.0,2783.0,0.0,196.05000000000015,0.0,0.0,531.8063933849335,,,,,,,,,,,,,,,,,,,,,87.27887923223014,48.75054642247947,162.62919163602015,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,153.0,2.0,111.0,2894.0,0.0,534.125999999999,0.0,0.0,542.4288449287415,,,,,,,,,,,,,,,,,,,,,190.88981815314193,96.81631215429199,328.7810446383146,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
